Path,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,Label
"[u'/opt/NVD/NVD_func/20/CVE-2014-8544/CVE_2014_8544_PATCHED_tiff_decode_tag.c']
","1249
","7
","0
","1
","2
","0
","41
","145
","146
","162
","34
","5
","46
","23
","44
",0
"[u'/opt/NVD/NVD_func/20/CVE-2014-8544/CVE_2014_8544_VULN_tiff_decode_tag.c']
","1185
","7
","0
","1
","2
","0
","40
","142
","143
","162
","33
","5
","45
","22
","43
",1
"[u'/opt/NVD/NVD_func/20/CVE-2014-8545/CVE_2014_8545_PATCHED_decode_frame.c']
","336
","15
","10
","2
","4
","0
","67
","228
","238
","353
","41
","13
","2
","51
","83
",0
"[u'/opt/NVD/NVD_func/20/CVE-2014-8545/CVE_2014_8545_VULN_decode_frame.c']
","336
","15
","10
","2
","4
","0
","67
","227
","237
","353
","41
","13
","2
","51
","83
",1
"[u'/opt/NVD/NVD_func/20/CVE-2014-8546/CVE_2014_8546_PATCHED_cinepak_decode_vectors.c']
","225
","2
","1
","2
","5
","0
","19
","31
","39
","268
","9
","6
","17
","7
","19
",0
"[u'/opt/NVD/NVD_func/20/CVE-2014-8546/CVE_2014_8546_VULN_cinepak_decode_vectors.c']
","225
","2
","1
","2
","5
","0
","19
","31
","39
","268
","9
","6
","17
","7
","19
",1
"[u'/opt/NVD/NVD_func/20/CVE-2014-8547/CVE_2014_8547_PATCHED_gif_read_image.c']
","6567
","3
","2
","2
","2
","0
","30
","84
","84
","132
","10
","4
","27
","19
","38
",0
"[u'/opt/NVD/NVD_func/20/CVE-2014-8547/CVE_2014_8547_VULN_gif_read_image.c']
","6207
","2
","1
","2
","2
","0
","32
","84
","84
","132
","10
","5
","28
","19
","38
",1
"[u'/opt/NVD/NVD_func/20/CVE-2014-8643/CVE_2014_8643_PATCHED_XRE_InitChildProcess.c']
","13464
","1
","0
","1
","2
","0
","22
","3
","4
","60
","5
","3
","20
","3
","37
",0
"[u'/opt/NVD/NVD_func/20/CVE-2014-8643/CVE_2014_8643_VULN_XRE_InitChildProcess.c']
","6768
","1
","0
","1
","2
","0
","21
","3
","4
","60
","5
","3
","19
","3
","36
",1
"[u'/opt/NVD/NVD_func/20/CVE-2014-8709/CVE_2014_8709_PATCHED_ieee80211_fragment.c']
","8
","1
","0
","1
","4
","0
","4
","16
","16
","46
","3
","2
","5
","4
","4
",0
"[u'/opt/NVD/NVD_func/20/CVE-2014-8709/CVE_2014_8709_VULN_ieee80211_fragment.c']
","8
","1
","0
","1
","4
","0
","4
","17
","17
","46
","3
","2
","5
","4
","4
",1
"[u'/opt/NVD/NVD_func/20/CVE-2014-8713/CVE_2014_8713_PATCHED_build_expert_data.c']
","152
","1
","0
","1
","6
","0
","11
","9
","11
","46
","4
","6
","10
","5
","20
",0
"[u'/opt/NVD/NVD_func/20/CVE-2014-8713/CVE_2014_8713_VULN_build_expert_data.c']
","152
","1
","0
","1
","6
","0
","11
","9
","11
","46
","4
","6
","10
","5
","20
",1
"[u'/opt/NVD/NVD_func/20/CVE-2014-8714/CVE_2014_8714_PATCHED_dissect_write_structured_field.c']
","26
","7
","6
","2
","3
","0
","6
","0
","0
","331
","6
","6
","12
","7
","11
",0
"[u'/opt/NVD/NVD_func/20/CVE-2014-8714/CVE_2014_8714_VULN_dissect_write_structured_field.c']
","24
","7
","6
","2
","3
","0
","4
","0
","0
","331
","6
","5
","10
","7
","9
",1
"[u'/opt/NVD/NVD_func/20/CVE-2014-9316/CVE_2014_9316_PATCHED_mjpeg_decode_app.c']
","482
","1
","0
","1
","1
","0
","33
","118
","136
","135
","14
","4
","34
","17
","32
",0
"[u'/opt/NVD/NVD_func/20/CVE-2014-9316/CVE_2014_9316_VULN_mjpeg_decode_app.c']
","386
","1
","0
","1
","1
","0
","31
","114
","132
","135
","13
","4
","32
","15
","27
",1
"[u'/opt/NVD/NVD_func/20/CVE-2014-9374/CVE_2014_9374_PATCHED_AST_OPTIONAL_API_NAME.c']
","228
","1
","0
","1
","5
","0
","27
","23
","23
","410
","13
","4
","21
","11
","31
",0
"[u'/opt/NVD/NVD_func/20/CVE-2014-9374/CVE_2014_9374_VULN_AST_OPTIONAL_API_NAME.c']
","108
","1
","0
","1
","5
","0
","24
","19
","19
","402
","12
","4
","19
","10
","31
",1
"[u'/opt/NVD/NVD_func/20/CVE-2014-9419/CVE_2014_9419_PATCHED___switch_to.c']
","288
","0
","0
","0
","2
","0
","9
","28
","28
","55
","2
","2
","2
","6
","25
",0
"[u'/opt/NVD/NVD_func/20/CVE-2014-9419/CVE_2014_9419_VULN___switch_to.c']
","288
","0
","0
","0
","2
","0
","9
","28
","28
","55
","2
","2
","2
","6
","25
",1
"[u'/opt/NVD/NVD_func/20/CVE-2014-9428/CVE_2014_9428_PATCHED_batadv_frag_merge_packets.c']
","3
","0
","0
","0
","2
","0
","2
","10
","12
","54
","0
","1
","2
","2
","7
",0
"[u'/opt/NVD/NVD_func/20/CVE-2014-9428/CVE_2014_9428_VULN_batadv_frag_merge_packets.c']
","3
","0
","0
","0
","2
","0
","2
","10
","12
","54
","0
","1
","2
","2
","8
",1
"[u'/opt/NVD/NVD_func/21/CVE-2015-0833/CVE_2015_0833_PATCHED_UpdateThreadFunc.c']
","3336
","0
","0
","0
","1
","0
","19
","0
","0
","35
","8
","5
","13
","8
","28
",0
"[u'/opt/NVD/NVD_func/21/CVE-2015-0833/CVE_2015_0833_VULN_UpdateThreadFunc.c']
","520
","0
","0
","0
","1
","0
","14
","0
","0
","21
","7
","4
","8
","8
","14
",1
"[u'/opt/NVD/NVD_func/21/CVE-2015-1158/CVE_2015_1158_PATCHED_authenticate_job.c']
","20
","0
","0
","0
","2
","0
","12
","23
","24
","65
","4
","2
","10
","4
","34
",0
"[u'/opt/NVD/NVD_func/21/CVE-2015-1158/CVE_2015_1158_PATCHED_print_job.c']
","725
","0
","0
","0
","2
","0
","26
","44
","44
","94
","8
","3
","19
","6
","57
",0
"[u'/opt/NVD/NVD_func/21/CVE-2015-1158/CVE_2015_1158_PATCHED_release_job.c']
","16
","0
","0
","0
","2
","0
","9
","21
","22
","53
","3
","2
","8
","4
","26
",0
"[u'/opt/NVD/NVD_func/21/CVE-2015-1158/CVE_2015_1158_PATCHED_send_document.c']
","7858
","0
","0
","0
","2
","0
","44
","95
","100
","132
","17
","4
","33
","12
","65
",0
"[u'/opt/NVD/NVD_func/21/CVE-2015-1158/CVE_2015_1158_VULN_authenticate_job.c']
","20
","0
","0
","0
","2
","0
","12
","23
","24
","71
","4
","2
","10
","4
","34
",1
"[u'/opt/NVD/NVD_func/21/CVE-2015-1158/CVE_2015_1158_VULN_print_job.c']
","725
","0
","0
","0
","2
","0
","26
","45
","45
","93
","8
","3
","19
","6
","57
",1
"[u'/opt/NVD/NVD_func/21/CVE-2015-1158/CVE_2015_1158_VULN_release_job.c']
","16
","0
","0
","0
","2
","0
","9
","22
","23
","51
","3
","2
","8
","4
","26
",1
"[u'/opt/NVD/NVD_func/21/CVE-2015-1158/CVE_2015_1158_VULN_send_document.c']
","7858
","0
","0
","0
","2
","0
","44
","96
","101
","137
","17
","4
","33
","12
","65
",1
"[u'/opt/NVD/NVD_func/21/CVE-2015-1159/CVE_2015_1159_PATCHED_cgi_puts.c']
","7
","1
","0
","1
","2
","0
","10
","0
","0
","70
","1
","6
","6
","6
","2
",0
"[u'/opt/NVD/NVD_func/21/CVE-2015-1159/CVE_2015_1159_VULN_cgi_puts.c']
","12
","2
","1
","2
","2
","0
","17
","0
","0
","106
","4
","6
","11
","11
","3
",1
"[u'/opt/NVD/NVD_func/21/CVE-2015-2191/CVE_2015_2191_PATCHED_dissect_tnef.c']
","50
","1
","0
","1
","3
","0
","5
","0
","0
","55
","2
","3
","5
","3
","8
",0
"[u'/opt/NVD/NVD_func/21/CVE-2015-2191/CVE_2015_2191_VULN_dissect_tnef.c']
","28
","1
","0
","1
","3
","0
","4
","0
","0
","55
","1
","3
","4
","2
","7
",1
"[u'/opt/NVD/NVD_func/21/CVE-2015-2192/CVE_2015_2192_PATCHED_dissect_osd2_cdb_continuation.c']
","92
","1
","0
","1
","5
","0
","6
","8
","10
","60
","3
","2
","7
","3
","16
",0
"[u'/opt/NVD/NVD_func/21/CVE-2015-2192/CVE_2015_2192_VULN_dissect_osd2_cdb_continuation.c']
","64
","1
","0
","1
","5
","0
","5
","8
","10
","60
","2
","2
","6
","3
","16
",1
"[u'/opt/NVD/NVD_func/21/CVE-2015-2666/CVE_2015_2666_PATCHED_get_matching_model_microcode.c']
","10
","2
","0
","1
","7
","0
","4
","3
","3
","55
","2
","2
","3
","3
","15
",0
"[u'/opt/NVD/NVD_func/21/CVE-2015-2666/CVE_2015_2666_VULN_get_matching_model_microcode.c']
","10
","2
","0
","1
","7
","0
","4
","3
","3
","55
","2
","2
","3
","3
","13
",1
"[u'/opt/NVD/NVD_func/22/CVE-2015-4001/CVE_2015_4001_PATCHED_oz_hcd_get_desc_cnf.c']
","30
","0
","0
","0
","7
","0
","9
","10
","11
","46
","4
","4
","8
","3
","19
",0
"[u'/opt/NVD/NVD_func/22/CVE-2015-4001/CVE_2015_4001_VULN_oz_hcd_get_desc_cnf.c']
","30
","0
","0
","0
","7
","0
","9
","10
","11
","46
","4
","4
","8
","3
","19
",1
"[u'/opt/NVD/NVD_func/22/CVE-2015-4003/CVE_2015_4003_PATCHED_oz_usb_handle_ep_data.c']
","7
","2
","0
","1
","3
","0
","2
","12
","12
","64
","4
","2
","5
","2
","10
",0
"[u'/opt/NVD/NVD_func/22/CVE-2015-4003/CVE_2015_4003_VULN_oz_usb_handle_ep_data.c']
","6
","2
","0
","1
","3
","0
","1
","11
","11
","64
","3
","2
","4
","2
","7
",1
"[u'/opt/NVD/NVD_func/22/CVE-2015-4652/CVE_2015_4652_PATCHED_de_bcd_num.c']
","4
","0
","0
","0
","7
","0
","2
","0
","0
","58
","0
","1
","1
","1
","3
",0
"[u'/opt/NVD/NVD_func/22/CVE-2015-4652/CVE_2015_4652_VULN_de_bcd_num.c']
","18
","1
","0
","1
","7
","0
","4
","0
","0
","58
","1
","2
","2
","2
","5
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2100/CVE_2012_2100_PATCHED_ext4_fill_flex_info.c']
","10
","1
","0
","1
","1
","0
","4
","20
","22
","54
","2
","2
","5
","5
","7
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2100/CVE_2012_2100_VULN_ext4_fill_flex_info.c']
","10
","1
","0
","1
","1
","0
","4
","18
","20
","54
","1
","2
","5
","4
","7
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2136/CVE_2012_2136_PATCHED_sock_alloc_send_pskb.c']
","23
","2
","1
","2
","5
","0
","10
","16
","18
","72
","7
","5
","12
","2
","21
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2136/CVE_2012_2136_VULN_sock_alloc_send_pskb.c']
","22
","2
","1
","2
","5
","0
","9
","16
","18
","72
","7
","5
","10
","2
","20
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2313/CVE_2012_2313_PATCHED_rio_ioctl.c']
","5
","0
","0
","0
","3
","0
","1
","6
","6
","32
","1
","2
","2
","1
","3
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2313/CVE_2012_2313_VULN_rio_ioctl.c']
","11
","1
","0
","1
","3
","0
","0
","16
","16
","63
","1
","2
","2
","1
","3
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2375/CVE_2012_2375_PATCHED___nfs4_get_acl_uncached.c']
","242
","2
","0
","1
","3
","0
","12
","1
","1
","33
","4
","2
","9
","4
","14
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2375/CVE_2012_2375_VULN___nfs4_get_acl_uncached.c']
","242
","2
","0
","1
","3
","0
","12
","1
","1
","33
","4
","2
","9
","4
","14
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2390/CVE_2012_2390_PATCHED_hugetlb_reserve_pages.c']
","12
","0
","0
","0
","5
","0
","8
","6
","8
","50
","1
","2
","7
","2
","11
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2390/CVE_2012_2390_PATCHED_hugetlb_vm_op_close.c']
","3
","0
","0
","0
","1
","0
","2
","3
","3
","38
","1
","2
","2
","1
","2
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2390/CVE_2012_2390_VULN_hugetlb_reserve_pages.c']
","12
","0
","0
","0
","5
","0
","8
","6
","8
","50
","1
","2
","7
","2
","11
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2390/CVE_2012_2390_VULN_hugetlb_vm_op_close.c']
","3
","0
","0
","0
","1
","0
","2
","4
","4
","40
","1
","2
","2
","1
","2
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2393/CVE_2012_2393_PATCHED_dictionary_load.c']
","1204
","8
","2
","2
","0
","0
","22
","72
","72
","207
","17
","4
","27
","6
","43
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2393/CVE_2012_2393_VULN_dictionary_load.c']
","1204
","8
","2
","2
","0
","0
","22
","72
","72
","207
","17
","4
","27
","6
","43
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2652/CVE_2012_2652_PATCHED_bdrv_open.c']
","481
","0
","0
","0
","4
","0
","21
","21
","24
","63
","10
","3
","18
","6
","25
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2652/CVE_2012_2652_VULN_bdrv_open.c']
","479
","0
","0
","0
","4
","0
","20
","21
","24
","63
","9
","3
","17
","6
","25
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2669/CVE_2012_2669_PATCHED_main.c']
","2976
","1
","0
","1
","0
","0
","13
","39
","39
","105
","9
","3
","11
","7
","29
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2669/CVE_2012_2669_VULN_main.c']
","2976
","1
","0
","1
","0
","0
","13
","39
","39
","93
","9
","3
","11
","7
","27
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2776/CVE_2012_2776_PATCHED_decode_cell_data.c']
","90
","3
","1
","3
","11
","0
","31
","15
","15
","58
","11
","9
","25
","12
","22
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2776/CVE_2012_2776_VULN_decode_cell_data.c']
","90
","3
","1
","3
","11
","0
","31
","15
","15
","58
","11
","9
","25
","12
","21
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2779/CVE_2012_2779_PATCHED_decode_frame.c']
","17
","2
","1
","2
","4
","0
","8
","31
","31
","111
","1
","4
","9
","7
","25
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2779/CVE_2012_2779_PATCHED_decode_pic_hdr.c']
","13
","0
","0
","0
","2
","0
","7
","28
","28
","38
","5
","2
","7
","7
","14
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2779/CVE_2012_2779_VULN_decode_frame.c']
","17
","2
","1
","2
","4
","0
","8
","30
","30
","111
","1
","4
","9
","6
","24
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2779/CVE_2012_2779_VULN_decode_pic_hdr.c']
","13
","0
","0
","0
","2
","0
","7
","26
","26
","38
","5
","2
","7
","7
","14
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2783/CVE_2012_2783_PATCHED_ff_vp56_decode_frame.c']
","974
","9
","6
","4
","4
","0
","25
","103
","107
","204
","19
","4
","30
","15
","55
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2783/CVE_2012_2783_VULN_ff_vp56_decode_frame.c']
","974
","9
","6
","4
","4
","0
","25
","102
","106
","204
","19
","4
","30
","15
","55
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2790/CVE_2012_2790_PATCHED_read_var_block_data.c']
","64380
","13
","2
","2
","2
","0
","32
","60
","60
","264
","22
","5
","35
","9
","35
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2797/CVE_2012_2797_PATCHED_decode_frame_mp3on4.c']
","11
","3
","2
","2
","4
","0
","8
","39
","44
","140
","5
","4
","10
","4
","21
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-2797/CVE_2012_2797_VULN_decode_frame_mp3on4.c']
","11
","3
","2
","2
","4
","0
","8
","38
","43
","138
","5
","4
","10
","4
","21
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-3364/CVE_2012_3364_PATCHED_nci_extract_activation_params_iso_dep.c']
","5
","0
","0
","0
","3
","0
","2
","14
","14
","62
","2
","2
","3
","1
","9
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-3364/CVE_2012_3364_PATCHED_nci_extract_rf_params_nfca_passive_poll.c']
","2
","0
","0
","0
","3
","0
","1
","12
","12
","58
","0
","1
","1
","1
","3
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-3364/CVE_2012_3364_VULN_nci_extract_activation_params_iso_dep.c']
","5
","0
","0
","0
","3
","0
","2
","14
","14
","58
","2
","2
","3
","1
","9
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-3364/CVE_2012_3364_VULN_nci_extract_rf_params_nfca_passive_poll.c']
","2
","0
","0
","0
","3
","0
","1
","12
","12
","56
","0
","1
","1
","1
","3
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-3553/CVE_2012_3553_PATCHED_dumpsub.c']
","29
","0
","0
","0
","2
","0
","12
","18
","19
","50
","5
","3
","10
","3
","19
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-3553/CVE_2012_3553_PATCHED_setsubstate.c']
","38066
","0
","0
","0
","2
","0
","56
","298
","304
","94
","42
","5
","55
","32
","66
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-3553/CVE_2012_3553_VULN_dumpsub.c']
","28
","0
","0
","0
","2
","0
","11
","16
","17
","50
","5
","3
","8
","3
","18
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-3553/CVE_2012_3553_VULN_setsubstate.c']
","38065
","0
","0
","0
","2
","0
","55
","296
","302
","94
","42
","5
","54
","32
","65
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-3957/CVE_2012_3957_PATCHED_nsBlockFrame__AddFrames.c']
","337
","1
","0
","1
","2
","0
","17
","33
","38
","69
","7
","4
","15
","7
","27
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/10/CVE-2012-3957/CVE_2012_3957_VULN_nsBlockFrame__AddFrames.c']
","337
","1
","0
","1
","2
","0
","17
","33
","38
","69
","7
","4
","15
","7
","27
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1010/CVE_2011_1010_PATCHED_mac_partition.c']
","92
","2
","1
","2
","1
","0
","16
","25
","26
","61
","4
","4
","18
","8
","28
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1010/CVE_2011_1010_VULN_mac_fix_string.c']
","2
","1
","0
","1
","2
","0
","0
","0
","0
","12
","0
","1
","1
","1
","4
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1010/CVE_2011_1010_VULN_mac_partition.c']
","91
","2
","1
","2
","1
","0
","15
","25
","26
","61
","8
","5
","17
","8
","27
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1019/CVE_2011_1019_PATCHED_dev_load.c']
","6
","0
","0
","0
","2
","0
","3
","0
","0
","18
","1
","2
","2
","2
","6
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1019/CVE_2011_1019_VULN_dev_load.c']
","2
","0
","0
","0
","2
","0
","1
","0
","0
","18
","0
","1
","1
","1
","3
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1023/CVE_2011_1023_PATCHED_rds_loop_xmit.c']
","2
","0
","0
","0
","5
","0
","1
","13
","13
","46
","0
","1
","1
","1
","6
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1023/CVE_2011_1023_VULN_rds_loop_xmit.c']
","2
","0
","0
","0
","5
","0
","1
","10
","10
","24
","0
","1
","1
","1
","6
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1044/CVE_2011_1044_PATCHED_ib_uverbs_poll_cq.c']
","9
","1
","0
","1
","4
","0
","6
","1
","1
","41
","3
","2
","7
","3
","12
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1044/CVE_2011_1044_VULN_ib_uverbs_poll_cq.c']
","7
","1
","0
","1
","4
","0
","5
","18
","20
","79
","0
","1
","6
","3
","14
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1076/CVE_2011_1076_PATCHED_dns_resolver_instantiate.c']
","15
","1
","0
","1
","3
","0
","11
","9
","9
","89
","5
","4
","11
","4
","22
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1076/CVE_2011_1076_VULN_dns_resolver_instantiate.c']
","15
","1
","0
","1
","3
","0
","11
","9
","9
","85
","5
","4
","11
","4
","22
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1093/CVE_2011_1093_PATCHED_dccp_rcv_state_process.c']
","96
","0
","0
","0
","4
","0
","25
","31
","32
","48
","12
","5
","22
","11
","48
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1093/CVE_2011_1093_VULN_dccp_rcv_state_process.c']
","98
","0
","0
","0
","4
","0
","23
","30
","31
","48
","11
","5
","21
","10
","47
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1147/CVE_2011_1147_PATCHED_decode_length.c']
","6
","0
","0
","0
","4
","0
","5
","0
","0
","132
","2
","2
","5
","4
","7
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1147/CVE_2011_1147_PATCHED_decode_open_type.c']
","4
","0
","0
","0
","5
","0
","3
","0
","0
","67
","1
","2
","3
","2
","7
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1147/CVE_2011_1147_PATCHED_udptl_rx_packet.c']
","40
","12
","4
","4
","3
","0
","24
","76
","76
","194
","15
","7
","35
","11
","66
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1147/CVE_2011_1147_VULN_decode_length.c']
","5
","0
","0
","0
","4
","0
","4
","0
","0
","132
","1
","2
","4
","4
","6
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1147/CVE_2011_1147_VULN_decode_open_type.c']
","7
","1
","0
","1
","5
","0
","4
","0
","0
","89
","3
","3
","0
","2
","8
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1147/CVE_2011_1147_VULN_udptl_rx_packet.c']
","39
","12
","4
","4
","3
","0
","23
","74
","74
","194
","16
","7
","34
","11
","64
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1160/CVE_2011_1160_PATCHED_tpm_open.c']
","4
","0
","0
","0
","2
","0
","4
","11
","11
","38
","0
","1
","3
","3
","13
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1160/CVE_2011_1160_VULN_tpm_open.c']
","4
","0
","0
","0
","2
","0
","4
","11
","11
","44
","0
","1
","3
","3
","13
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1173/CVE_2011_1173_PATCHED_econet_sendmsg.c']
","136
","1
","0
","1
","4
","0
","20
","47
","48
","180
","10
","3
","20
","6
","36
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1173/CVE_2011_1173_VULN_econet_sendmsg.c']
","136
","1
","0
","1
","4
","0
","20
","47
","48
","179
","10
","3
","20
","6
","36
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1175/CVE_2011_1175_PATCHED_handle_tcptls_connection.c']
","468
","1
","0
","1
","1
","0
","23
","48
","67
","91
","10
","8
","16
","15
","38
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1175/CVE_2011_1175_VULN_handle_tcptls_connection.c']
","460
","1
","0
","1
","1
","0
","21
","46
","65
","91
","9
","8
","14
","12
","33
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1182/CVE_2011_1182_PATCHED_do_rt_tgsigqueueinfo.c']
","3
","0
","0
","0
","4
","0
","2
","3
","3
","10
","0
","1
","2
","1
","6
",0
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1182/CVE_2011_1182_VULN_do_rt_tgsigqueueinfo.c']
","3
","0
","0
","0
","4
","0
","2
","2
","2
","10
","0
","1
","2
","1
","5
",1
"[u'/mnt/c/Users/Lyy/PycharmProjects/ReSySeVR/data/NVD_func/26/CVE-2011-1477/CVE_2011_1477_PATCHED_opl3_panning.c']
","2
","0
","0
","0
","3
","0
","1
","2
","2
","8
","0
","1
","1
","1
","4
",0
